pid,Comprehension Gauging Question,Direct Instruction,Hint,Negative Feedback,Neutral Feedback,Paraphrase,Pose Simplified Problem,Positive Feedback,Prompt,Provide Correct Answer
p672,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p445,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p21,0.0,100.0,75.0,0.0,25.0,0.0,0.0,25.0,75.0,25.0
p227,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p243,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p612,0.0,100.0,60.0,0.0,20.0,0.0,20.0,0.0,40.0,40.0
p379,0.0,100.0,50.0,0.0,50.0,0.0,0.0,0.0,50.0,50.0
p107,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
p295,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
p60,0.0,100.0,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0,100.0
p236,0.0,50.0,50.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0
p729,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p40,0.0,87.5,25.0,12.5,12.5,0.0,0.0,50.0,37.5,50.0
p670,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p237,0.0,66.66666666666666,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p772,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0
p321,0.0,100.0,25.0,25.0,0.0,25.0,0.0,0.0,75.0,50.0
p633,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p356,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
p851,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p11,0.0,100.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666
p608,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
p32,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,33.33333333333333,100.0
p52,0.0,100.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,75.0
p620,0.0,50.0,50.0,50.0,0.0,100.0,0.0,50.0,100.0,0.0
p393,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
p407,0.0,100.0,42.857142857142854,14.285714285714285,14.285714285714285,0.0,0.0,42.857142857142854,71.42857142857143,14.285714285714285
p306,0.0,100.0,0.0,0.0,100.0,50.0,0.0,0.0,100.0,100.0
p600,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
