Timestamp,Prolific ID?,The AI assistant's responses were consistent with the intentions of my questions.,The AI assistant was easy to use.,Any additional feedback you would like to share about the AI assistant?
7/23/2026 9:16:03,p21,Agree,Agree,"Don't think it's move really helped that much, but hard to tell if you only have 3 moves overall to plan and can't really ""win"" the game to show the choice's merit. It's explanations did show and good understanding of the game and predicting the opponents next moves. I'd give it a solid 8 out of 10, based on logical thinking and ease of understanding. A longer game, to really analyze it's recommended move would've resulted in a (much) higher score."
7/23/2026 9:19:51,p633,Agree,Strongly agree,
7/23/2026 9:19:58,p124,Strongly agree,Strongly agree,"I didn't expect the AI Assistant to be as...technical as it was? I've worked with a lot of AI Assistants but they're normally very warm and maybe overly-friendly at times. This one felt much more rigid and task-focused, rather than focused on personalization and/or establishing a warm/friendly connection. It wasn't a bad thing considering the goal at hand, but it definitely felt a bit more cold than I was expecting."
7/23/2026 9:27:41,p363,Neutral,Agree,I felt like it needed to give more concrete answers instead of asking me things.
7/23/2026 9:32:00,p379,Agree,Agree,Responses were very slow compared to other chatbots/ai assistants I have used previously
7/23/2026 9:41:23,p817,Strongly agree,Strongly agree,
7/23/2026 9:42:08,p672,Strongly agree,Strongly agree,
7/23/2026 9:48:14,p738,Disagree,Neutral,I only got two moves. It was really frustrating.
7/23/2026 10:06:21,p246,Neutral,Neutral,No
7/23/2026 10:09:11,p356,Strongly agree,Agree,
7/23/2026 10:16:11,p656,Neutral,Neutral,
7/23/2026 10:23:04,p119,Agree,Strongly agree,
7/23/2026 10:32:22,p732,Neutral,Disagree,
7/23/2026 11:00:01,p321,Agree,Disagree,"Instead of saying c1, c2 from the very start, please say column instead of just saying C once at the first, so we won't be confuse."
7/23/2026 11:01:04,p193,Strongly agree,Strongly agree,
7/23/2026 11:05:30,p321,Strongly agree,Agree,NA
7/23/2026 11:08:48,p52,Strongly agree,Strongly agree,The answers were helpful and it explained its reasoning to help me in making a decision.
7/23/2026 11:10:17,p620,Disagree,Disagree,"the AI assistant wasn't super helpful, more confusing than anything"
7/23/2026 11:53:45,p420,Neutral,Agree,
7/23/2026 12:56:54,p648,Agree,Agree,
7/23/2026 12:58:24,p13,Agree,Agree,The AI assistant made a mistake and also was not helpful in winning.
7/23/2026 13:08:42,p293,Disagree,Strongly agree,"When I asked my second question it should have immediately told me what to choose, because that's clearly what I was asking."
7/23/2026 13:09:35,p306,Strongly agree,Strongly agree,
7/23/2026 13:15:07,p739,Disagree,Strongly disagree,The AI assistant sent me a message each attempt that said unable to reach AI assistant.
7/24/2026 6:13:10,p513,Strongly agree,Strongly agree,"I did have to ask it to clarify a term, e.g. whether when it used the term ""c5"" it meant ""column 5,"" and since I haven't played Connect Four much (if at all) in my life, I felt a bit embarrassed to have to ask that, as though the AI assistant might think I was an idiot. But that's likely more my issue than the assistant's, and of course it was able to answer my query."
7/24/2026 6:14:41,p8,Agree,Agree,"I believe that the AI had the ability to calculate what moves are and would be possible so could provide good advice on where to place the counter.  However, I am not sure if it was definitely correct!"
7/24/2026 6:16:16,p295,Strongly agree,Agree,I liked its tone ;) quite relaxed and came from a place of wisdom
7/24/2026 6:16:30,p407,Strongly agree,Agree,The AI assistant didn't seem to accurately assess the board when it updated with yellow's move. Its advice looked right otherwise.
7/24/2026 6:21:25,p664,Strongly agree,Agree,
7/24/2026 6:28:04,p445,Agree,Agree,"I only asked it two questions and the first response was easily understandable, but the second response, when I asked for my next best move was a little less easy to understand. The answer was there within the response, but it could have been presented clearer with less ""thought process"" / ""working out"" shown."
7/24/2026 6:28:26,p153,Neutral,Agree,
7/24/2026 6:28:40,p830,Agree,Neutral,
7/24/2026 6:28:46,p153,Agree,Agree,
7/24/2026 6:30:28,p830,Agree,Strongly agree,
7/24/2026 6:31:07,p194,Agree,Agree,None.
7/24/2026 6:34:39,p737,Disagree,Agree,
7/24/2026 6:42:52,p211,Strongly agree,Strongly agree,The AI Assistant was extremely helpful and saved my game. It showed me where to block a move my opponent would have made on their next turn to win the game. 
7/24/2026 6:43:08,p731,Neutral,Strongly agree,N/A
7/24/2026 6:44:18,p316,Neutral,Neutral,
7/24/2026 6:45:56,p755,Neutral,Neutral,"I don't want to use an AI assistant. I just want to play the game and rely on my own ability (or inability, as it were). "
7/24/2026 6:46:34,p211,Strongly agree,Strongly agree,The AI assistant was very helpful again by pointing out a defensive move for me that I hadn’t seen. 
7/24/2026 6:47:11,p7,Strongly agree,Strongly agree,
7/24/2026 7:02:41,p538,Strongly agree,Strongly agree,"I really liked the way it gave examples and identified each disc on the board, That was very helpful to see strategies,"
7/24/2026 7:02:57,p842,Neutral,Neutral,
7/24/2026 7:03:59,p828,Agree,Agree,"I only consulted it at the beginning, then didn't feel the need for further discussion"
7/24/2026 7:06:51,p324,Agree,Agree,"The AI was supportive, yet informative"
7/24/2026 7:15:39,p128,Strongly agree,Strongly agree,The layout was very clear and the answers were simple and helpful
7/28/2026 6:07:41,p258,Strongly agree,Neutral,
7/28/2026 6:08:32,p267,Disagree,Neutral,I felt it gave poor advice - i followed my own instinct and created a row of 4. I would not have won if i had followed the AI's advice. 
7/28/2026 6:10:25,p216,Strongly agree,Strongly agree,
7/28/2026 6:12:14,p168,Agree,Agree,No
7/28/2026 6:15:30,p62,Neutral,Disagree,The AI assistant gave quite complex answers and did not show empathy for my issues which might have helped with my clear thinking
7/28/2026 6:16:55,p227,Agree,Disagree,
7/28/2026 6:17:42,p227,Agree,Neutral,
7/28/2026 6:18:19,p227,Neutral,Neutral,
7/28/2026 6:22:14,p729,Strongly agree,Strongly agree,
7/28/2026 6:23:41,p268,Neutral,Neutral,I ignored the AI assistant for this round
7/28/2026 6:24:20,p706,Agree,Strongly agree,"Enjoyed speaking with the AI assistant as it provided reasoning why it would select certain columns for the next move and why some should be avoided, each selection was easy to understand as the logic was well explained. "
7/28/2026 6:25:27,p493,Strongly agree,Agree,The answers were good but quite wordy
7/28/2026 6:30:29,p601,Strongly agree,Strongly agree,
7/28/2026 6:32:28,p848,Neutral,Agree,no
7/28/2026 6:37:15,p281,Agree,Agree,
7/28/2026 6:41:29,p147,Neutral,Neutral,
7/28/2026 6:41:42,p603,Strongly agree,Strongly agree,
7/28/2026 6:54:36,p832,Disagree,Disagree,"The AI assistant wasn't very straightforward, making it useless considering the relative ease of the game and the time limit."
7/28/2026 6:56:05,p853,Agree,Agree,
7/28/2026 6:57:07,p791,Agree,Agree,"I felt like I didn't need it on the second move, because I would have lost, so didn't use it as much as I would have liked"
7/28/2026 6:59:15,p226,Disagree,Agree,Not sure it correctly analyzed the game. I didn't see a forced win.
7/28/2026 7:03:26,p206,Strongly agree,Strongly agree,"It seemed to make the right choices and to think ahead, which is one of my issues while playing connect 4. Overall, very helpful."
7/28/2026 9:16:46,p393,Strongly agree,Agree,
7/30/2026 6:35:18,p614,Agree,Agree,It was a better player than me! So very helpful to get me to think ahead.
7/30/2026 6:36:34,p614,Agree,Agree,The assistant really helped me play a better game.
7/30/2026 6:39:51,p273,Agree,Disagree,
7/30/2026 6:48:27,p267,Disagree,Neutral,Seemed to give poor advice and it was a little hard to understand its meaning. 
7/30/2026 7:03:09,p853,Neutral,Agree,
7/30/2026 9:21:09,p259,Strongly agree,Strongly agree,
7/30/2026 11:53:27,p216,Strongly agree,Strongly agree,
7/30/2026 11:57:06,p169,Strongly agree,Strongly agree,The AI assistant was helpful in giving good pointers about the game. It didn't give me the ideal move but then I didn't explicitly ask for it so it was good in that it gave me all the information I needed to work it out for myself.
7/30/2026 12:07:46,p339,Neutral,Agree,Its advice on exact moves didn't work that well.
7/30/2026 12:25:55,p373,Agree,Strongly agree,It seemed helpful and explained moves I could take.
7/30/2026 12:43:52,p568,Strongly agree,Strongly agree,
8/3/2026 6:25:19,p11,Agree,Agree,None
8/3/2026 6:51:14,p92,Neutral,Disagree,I didn't use the AI assistant
8/3/2026 7:16:17,p266,Strongly agree,Agree,Sometimes I felt like it was writing too much and was slightly more confusing than it needed to be. It could have been clearer.
8/3/2026 7:33:25,p312,Neutral,Agree,-
8/3/2026 7:43:01,p736,Neutral,Strongly disagree,"It was too vague and the name of cells were not clear, it was all number and no R or C"
8/3/2026 8:21:08,p127,Agree,Agree,
8/3/2026 8:27:42,p578,Agree,Strongly agree,
8/3/2026 8:28:07,p334,Neutral,Agree,
8/3/2026 8:30:12,p838,Neutral,Neutral,I didn't find it particularly helpful.
8/3/2026 8:32:30,p813,Agree,Agree,I felt that it didn't understand that I had limited moves available. 
8/3/2026 8:34:16,p649,Agree,Agree,I didn't think that the AI assistant gave the best advice.
8/3/2026 8:35:59,p23,Neutral,Neutral,
8/3/2026 8:45:43,p824,Agree,Agree,
8/3/2026 8:46:04,p635,Strongly agree,Strongly agree,I liked the questions it would suggest for me to consider - they felt relevant and useful for understanding why you might want to make or keep from making certain moves.
8/3/2026 8:48:30,p752,Agree,Agree,"I don't think it was necessarily an expert in Connect 4 since it seemed to overlook how Yellow would respond after my first move, at least it seemed that way at first."
8/3/2026 8:49:20,p95,Agree,Agree,None
8/3/2026 8:49:41,p423,Strongly agree,Strongly agree,
8/3/2026 8:50:57,p752,Agree,Agree,
8/3/2026 8:54:11,p806,Agree,Agree,
8/3/2026 8:58:05,p608,Agree,Agree,No
8/3/2026 9:05:50,p822,Agree,Neutral,"Hopefully it's ok that I was just asking it about my plans, but I think was helpful for the most part outside of the last response which confused me, maybe because the quick terminology for what area was being identified as a pressure area wasn't straightforward."
8/3/2026 9:06:14,p237,Agree,Neutral,The Ai assistant made things more complicated and I felt like it made the game more hard work.
8/3/2026 9:06:18,p772,Agree,Agree,"While I chose agree for both of the above questions, I did not listen to the AI assistant’s responses. I went with my own strategy and won. I wasn’t really expecting to win as I have played connect 4 before but not recently."
8/3/2026 9:09:09,p644,Strongly agree,Strongly agree,"I thought the responses were great. They were clear, concise and easy to follow. It seemed to have the right suggestions for the game and I appreciated that it asked follow up questions and gave the player additional things to consider before making their next move as well!"
8/3/2026 9:16:38,p612,Agree,Agree,no additional feedback
8/3/2026 9:17:52,p424,Strongly agree,Strongly agree,it was helpful and informative
8/3/2026 9:20:15,p424,Agree,Strongly agree,didnt use the assistant in the second round
8/3/2026 9:20:15,p612,Agree,Agree,
8/3/2026 9:27:52,p77,Strongly agree,Strongly agree,
8/3/2026 9:29:13,p243,Agree,Agree,"The response was slightly lengthy, and I would have preferred a more direct answer."
8/3/2026 9:31:07,p626,Agree,Agree,
8/3/2026 9:35:02,p465,Strongly agree,Strongly agree,No
8/3/2026 9:42:50,p107,Agree,Agree,
8/3/2026 9:43:39,p465,Agree,Strongly agree,No
8/3/2026 9:45:09,p465,Strongly agree,Strongly agree,No
8/3/2026 9:55:13,p712,Neutral,Neutral,"I didn't use it because it seemed absurd to use for such a mindless game. I realize I was setting myself up to win in 4 moves instead of 3, so that was my mistake. Even so, I didn't feel compelled to use the AI."
8/3/2026 9:56:14,p89,Disagree,Disagree,
8/3/2026 10:04:31,p129,Neutral,Agree,
8/3/2026 10:04:47,p785,Agree,Agree,"I thought the tone could have been a little more playful (we are, after all, playing a game)... and that the AI might have offered an example of a few different move possibilities to help me begin to get the hang of strategic thinking here."
8/3/2026 10:10:11,p785,Agree,Neutral,"Again, I might have expected a friendlier tone... with more 'talking through' exactly why my initial idea would or would not work... as well as a reminder that there were limited numbers of moves in the game (never played, forgot that)"
8/3/2026 10:22:56,p492,Strongly agree,Strongly agree,An explanation on how big its context window is would have been helpful info to share.
8/3/2026 10:23:49,p492,Strongly agree,Strongly agree,No additional feedback.
8/3/2026 10:24:59,p476,Agree,Agree,"Everything worked well, thank you."
8/3/2026 10:40:41,p723,Strongly agree,Strongly agree,
8/3/2026 10:45:09,p600,Strongly disagree,Neutral,"The AI assistant wasn't difficult to use, but in game-playing mode you don't want to stop and start typing out sentences. I would expect the AI assistant to see what my moves or attempted moves are and to give me commentary and feedback on what it sees rather than expect me to engage in conversation."
