participant,old_med,old_pass,old_llama,old_gpt,old_nemotron,old_qwen,new_med,new_pass,new_llama,new_gpt,new_nemotron,new_qwen,decision_changed,time_taken
p800,3.0,True,3,3,,,3,True,3,3,3,,False,3.069
p265,3.0,True,3,3,,,3,True,3,3,3,,False,17.509
p718,3.0,True,3,3,,,3,True,3,3,3,,False,3.378
p117,3.0,True,3,3,,,3,True,3,3,2,,False,2.988
p543,3.5,True,3,4,,,4,True,4,4,3,,False,3.053
p13,3.0,True,3,3,,,3,True,3,3,2,,False,3.273
p725,3.0,True,3,3,,,3,True,3,3,2,,False,2.47
p740,3.0,True,3,3,,,3,True,3,3,3,,False,2.542
p818,2.0,False,2,2,,,2,False,2,3,1,,False,3.741
p850,3.0,True,3,3,,,3,True,3,3,3,,False,11.961
p574,3.0,True,3,3,,,3,True,3,3,3,,False,2.157
p598,3.0,True,3,3,,,3,True,3,3,3,,False,3.854
p678,3.0,True,3,3,,,3,True,3,3,3,,False,3.067
p817,3.0,True,3,3,,,3,True,3,3,2,,False,2.951
p444,3.0,True,3,3,,,3,True,3,3,3,,False,3.744
p193,4.0,True,4,4,,,4,True,4,4,4,,False,3.829
p318,3.0,True,3,3,,,3,True,3,3,2,,False,4.508
p505,2.0,False,2,2,,,2,False,2,2,1,,False,1.894
p672,3.0,True,3,3,,,3,True,3,3,2,,False,2.522
p834,2.0,False,2,2,,,2,False,2,2,1,,False,2.067
p21,3.0,True,3,3,,,3,True,3,3,3,,False,2.491
p403,2.5,False,3,2,,,2,False,3,2,2,,False,13.74
p320,2.5,False,2,3,,,2,False,2,3,2,,False,5.76
p549,3.0,True,3,3,,,3,True,3,3,2,,False,2.591
p379,3.0,True,3,3,,,3,True,3,3,3,,False,1.784
p60,3.0,True,3,3,,,3,True,3,3,3,,False,3.07
p236,3.0,True,3,3,,,3,True,3,3,2,,False,19.282
p40,3.0,True,3,3,,,3,True,3,3,3,,False,2.749
p500,2.5,False,3,2,,,2,False,3,2,1,,False,3.451
p348,3.0,True,3,3,,,3,True,3,3,2,,False,19.476
p191,1.0,False,1,1,,,1,False,1,1,1,,False,21.653
p670,4.0,True,4,4,,,4,True,4,4,4,,False,2.733
p775,3.0,True,3,3,,,3,True,3,3,2,,False,2.726
p93,3.0,True,3,3,,,3,True,3,3,2,,False,3.23
p321,3.0,True,3,3,,,3,True,3,3,2,,False,3.97
p633,3.5,True,3,4,,,3,True,3,4,3,,False,13.0
p356,3.0,True,3,3,,,3,True,3,3,3,,False,3.044
p280,3.0,True,3,3,,,3,True,3,3,2,,False,3.599
p851,3.0,True,3,3,,,3,True,3,3,3,,False,4.092
p394,3.0,True,3,3,,,3,True,3,3,3,,False,20.94
p32,3.0,True,3,3,,,3,True,3,3,2,,False,3.565
p537,3.0,True,3,3,,,3,True,3,3,3,,False,17.813
p52,3.0,True,3,3,,,3,True,3,3,3,,False,10.358
p620,3.0,True,3,3,,,3,True,3,3,2,,False,2.829
p218,3.5,True,3,4,,,4,True,3,4,4,,False,4.087
p656,3.0,True,3,3,,,3,True,3,3,3,,False,2.925
p306,3.0,True,3,3,,,3,True,3,3,2,,False,19.102
test1,3.5,True,3,4,,,4,True,3,4,4,,False,5.57
