pid,Direct Instruction,Hint,Negative Feedback,Neutral Feedback,Paraphrase,Pose Simplified Problem,Positive Feedback,Prompt,Provide Correct Answer
preset_15openai_gpt-5.6-luna,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_15together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_15together_moonshotai_Kimi-K2.6,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333
preset_16anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_16openai_gpt-5.6-luna,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_16together_google_gemma-4-31B-it,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preset_16together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_16together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_17anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,100.0
preset_17openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_17together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0
preset_17together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_18anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_18openai_gpt-5.6-luna,100.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,100.0
preset_18together_google_gemma-4-31B-it,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_18together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,33.33333333333333,66.66666666666666
preset_19anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0
preset_19openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_19together_google_gemma-4-31B-it,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_19together_moonshotai_Kimi-K2.6,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
preset_1anthropic_claude-opus-5,100.0,0.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0
preset_1anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_1openai_gpt-5.6-luna,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_1openai_gpt-5.6-sol,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_1together_google_gemma-4-31B-it,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
preset_1together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
preset_1together_zai-org_GLM-5.2,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_20anthropic_claude-sonnet-5,100.0,100.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,33.33333333333333
preset_20openai_gpt-5.6-luna,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_20together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_21anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_21openai_gpt-5.6-luna,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_21together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,75.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0
preset_21together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_22anthropic_claude-sonnet-5,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_22openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_22together_moonshotai_Kimi-K2.6,100.0,100.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,100.0,0.0
preset_23anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,100.0
preset_23openai_gpt-5.6-luna,100.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_23together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_24anthropic_claude-sonnet-5,100.0,0.0,0.0,20.0,0.0,0.0,0.0,40.0,60.0
preset_24openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_24together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
preset_25anthropic_claude-sonnet-5,100.0,50.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0
preset_25openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_25together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,33.33333333333333,0.0,0.0,33.33333333333333,33.33333333333333,100.0
preset_26anthropic_claude-sonnet-5,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0
preset_26openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_26together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_26together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
preset_27anthropic_claude-sonnet-5,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666
preset_27openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,100.0
preset_27together_moonshotai_Kimi-K2.6,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
preset_28anthropic_claude-sonnet-5,100.0,33.33333333333333,0.0,33.33333333333333,33.33333333333333,0.0,66.66666666666666,66.66666666666666,33.33333333333333
preset_28openai_gpt-5.6-luna,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0
preset_28together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_28together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
preset_29anthropic_claude-sonnet-5,100.0,25.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
preset_29openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_29together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666
preset_29together_moonshotai_Kimi-K2.6,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0
preset_2anthropic_claude-opus-5,100.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0
preset_2anthropic_claude-sonnet-5,100.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0
preset_2openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0
preset_2openai_gpt-5.6-sol,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666
preset_2together_moonshotai_Kimi-K2.6,100.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
preset_2together_openai_gpt-oss-120b,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_2together_zai-org_GLM-5.2,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_30anthropic_claude-sonnet-5,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_30openai_gpt-5.6-luna,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_30together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0
preset_30together_moonshotai_Kimi-K2.6,100.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0
preset_31anthropic_claude-sonnet-5,100.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
preset_31openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_31together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0
preset_31together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_32anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,100.0
preset_32openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,100.0
preset_33anthropic_claude-sonnet-5,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
preset_33openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_33together_google_gemma-4-31B-it,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_33together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,100.0
preset_34anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_34openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_34together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_35anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
preset_35openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_35together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0
preset_35together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_36anthropic_claude-sonnet-5,100.0,0.0,0.0,33.33333333333333,0.0,0.0,100.0,0.0,100.0
preset_36openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_36together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0
preset_36together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0
preset_37anthropic_claude-sonnet-5,100.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
preset_37openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_37together_google_gemma-4-31B-it,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_37together_moonshotai_Kimi-K2.6,75.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0
preset_38anthropic_claude-sonnet-5,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0
preset_38openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_38together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0
preset_38together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_39anthropic_claude-sonnet-5,100.0,0.0,33.33333333333333,0.0,0.0,0.0,33.33333333333333,0.0,100.0
preset_39openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_39together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_3anthropic_claude-opus-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_3anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_3openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_3openai_gpt-5.6-sol,100.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,100.0
preset_3together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,66.66666666666666,0.0,0.0,0.0,0.0,100.0
preset_3together_openai_gpt-oss-120b,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0
preset_3together_zai-org_GLM-5.2,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0
preset_40anthropic_claude-sonnet-5,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666
preset_40openai_gpt-5.6-luna,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0
preset_40together_google_gemma-4-31B-it,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_40together_moonshotai_Kimi-K2.6,100.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,100.0
preset_41anthropic_claude-sonnet-5,100.0,100.0,50.0,0.0,50.0,0.0,0.0,50.0,0.0
preset_41openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0
preset_41together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0
preset_41together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
preset_42anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_42openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_42together_google_gemma-4-31B-it,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
preset_42together_moonshotai_Kimi-K2.6,50.0,50.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0
preset_43anthropic_claude-sonnet-5,100.0,25.0,0.0,0.0,25.0,0.0,50.0,50.0,50.0
preset_43openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_43together_moonshotai_Kimi-K2.6,100.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666
preset_44anthropic_claude-sonnet-5,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
preset_44openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_44together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_44together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_45anthropic_claude-sonnet-5,100.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666,0.0,100.0
preset_45openai_gpt-5.6-luna,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_45together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0
preset_46anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_46openai_gpt-5.6-luna,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_46together_google_gemma-4-31B-it,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
preset_46together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_46together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
preset_47anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_47openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,100.0
preset_47together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_48anthropic_claude-sonnet-5,100.0,50.0,0.0,50.0,50.0,0.0,100.0,50.0,0.0
preset_48openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_48together_google_gemma-4-31B-it,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
preset_48together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_48together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0
preset_49anthropic_claude-sonnet-5,100.0,0.0,0.0,33.33333333333333,0.0,0.0,66.66666666666666,0.0,100.0
preset_49openai_gpt-5.6-luna,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_49together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_4anthropic_claude-opus-5,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_4anthropic_claude-sonnet-5,100.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_4openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_4openai_gpt-5.6-sol,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0
preset_4together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_4together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0
preset_50anthropic_claude-sonnet-5,100.0,33.33333333333333,33.33333333333333,0.0,0.0,0.0,33.33333333333333,33.33333333333333,66.66666666666666
preset_50openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_50together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
preset_51anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_51openai_gpt-5.6-luna,100.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,100.0
preset_51together_moonshotai_Kimi-K2.6,100.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0
preset_5anthropic_claude-opus-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_5anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,100.0
preset_5openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_5openai_gpt-5.6-sol,100.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0,100.0
preset_5together_google_gemma-4-31B-it,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0
preset_5together_moonshotai_Kimi-K2.6,100.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,0.0,100.0
preset_6anthropic_claude-sonnet-5,100.0,25.0,0.0,25.0,12.5,0.0,25.0,0.0,75.0
preset_6openai_gpt-5.6-luna,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_6together_google_gemma-4-31B-it,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_7anthropic_claude-sonnet-5,100.0,0.0,33.33333333333333,0.0,0.0,0.0,66.66666666666666,0.0,100.0
preset_7openai_gpt-5.6-luna,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_7together_google_gemma-4-31B-it,100.0,50.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0
preset_7together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_7together_moonshotai_Kimi-K2.6,100.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
preset_8anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_8openai_gpt-5.6-luna,100.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,100.0
preset_8together_google_gemma-4-31B-it,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
preset_8together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_9anthropic_claude-sonnet-5,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
preset_9openai_gpt-5.6-luna,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
preset_9together_meta-llama_Llama-3.3-70B-Instruct-Turbo,100.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0
preset_9together_moonshotai_Kimi-K2.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
