,y,turns,density,LS_Comprehension Gauging Question,N_Comprehension Gauging Question,LS_Direct Instruction,N_Direct Instruction,LS_Hint,N_Hint,LS_Negative Feedback,N_Negative Feedback,LS_Neutral Feedback,N_Neutral Feedback,LS_Paraphrase,N_Paraphrase,LS_Pose Simplified Problem,N_Pose Simplified Problem,LS_Positive Feedback,N_Positive Feedback,LS_Prompt,N_Prompt,LS_Provide Correct Answer,N_Provide Correct Answer
p798,-22.0,9,2.5555555555555554,0.0,0,34.78260869565217,8,13.043478260869565,3,4.3478260869565215,1,4.3478260869565215,1,0.0,0,4.3478260869565215,1,8.695652173913043,2,8.695652173913043,2,21.73913043478261,5
p611,-12.0,7,2.7142857142857144,0.0,0,36.8421052631579,7,5.2631578947368425,1,15.789473684210526,3,5.2631578947368425,1,0.0,0,5.2631578947368425,1,10.526315789473685,2,10.526315789473685,2,10.526315789473685,2
p454,-30.0,5,2.8,0.0,0,35.714285714285715,5,14.285714285714286,2,7.142857142857143,1,7.142857142857143,1,0.0,0,14.285714285714286,2,7.142857142857143,1,14.285714285714286,2,0.0,0
p383,2.0,5,2.4,0.0,0,33.333333333333336,4,0.0,0,0.0,0,8.333333333333334,1,0.0,0,0.0,0,16.666666666666668,2,8.333333333333334,1,33.333333333333336,4
p17,-20.0,5,2.8,0.0,0,35.714285714285715,5,21.428571428571427,3,7.142857142857143,1,0.0,0,0.0,0,0.0,0,7.142857142857143,1,14.285714285714286,2,14.285714285714286,2
p669,-20.0,5,3.2,0.0,0,31.25,5,25.0,4,0.0,0,6.25,1,0.0,0,12.5,2,12.5,2,12.5,2,0.0,0
p76,-20.0,9,2.7777777777777777,0.0,0,36.0,9,8.0,2,0.0,0,4.0,1,0.0,0,0.0,0,8.0,2,16.0,4,28.0,7
p332,,10,2.3,0.0,0,43.47826086956522,10,4.3478260869565215,1,8.695652173913043,2,8.695652173913043,2,0.0,0,0.0,0,4.3478260869565215,1,13.043478260869565,3,17.391304347826086,4
p812,-22.0,5,2.0,0.0,0,50.0,5,10.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,4
p286,16.0,5,1.4,0.0,0,71.42857142857143,5,0.0,0,0.0,0,14.285714285714286,1,0.0,0,0.0,0,0.0,0,0.0,0,14.285714285714286,1
p722,,5,1.6,0.0,0,62.5,5,12.5,1,0.0,0,0.0,0,0.0,0,12.5,1,0.0,0,12.5,1,0.0,0
p155,-10.0,5,1.8,0.0,0,55.55555555555556,5,0.0,0,11.11111111111111,1,11.11111111111111,1,0.0,0,0.0,0,0.0,0,11.11111111111111,1,11.11111111111111,1
p127,-14.0,5,2.0,0.0,0,50.0,5,0.0,0,20.0,2,0.0,0,0.0,0,0.0,0,0.0,0,10.0,1,20.0,2
p86,-14.0,7,2.5714285714285716,0.0,0,33.333333333333336,6,27.77777777777778,5,0.0,0,5.555555555555555,1,0.0,0,5.555555555555555,1,11.11111111111111,2,11.11111111111111,2,5.555555555555555,1
p233,-32.0,5,2.4,0.0,0,41.666666666666664,5,16.666666666666668,2,0.0,0,8.333333333333334,1,0.0,0,0.0,0,0.0,0,8.333333333333334,1,25.0,3
p749,-14.0,5,3.0,0.0,0,33.333333333333336,5,20.0,3,0.0,0,6.666666666666667,1,0.0,0,6.666666666666667,1,13.333333333333334,2,13.333333333333334,2,6.666666666666667,1
p723,-24.0,5,2.0,0.0,0,50.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,5
p322,16.0,9,2.6666666666666665,0.0,0,37.5,9,16.666666666666668,4,4.166666666666667,1,0.0,0,0.0,0,4.166666666666667,1,8.333333333333334,2,16.666666666666668,4,12.5,3
p534,-8.0,5,2.0,0.0,0,50.0,5,10.0,1,0.0,0,0.0,0,0.0,0,10.0,1,0.0,0,10.0,1,20.0,2
p735,-10.0,5,2.4,0.0,0,41.666666666666664,5,25.0,3,0.0,0,16.666666666666668,2,0.0,0,0.0,0,0.0,0,16.666666666666668,2,0.0,0
p329,2.0,5,2.4,0.0,0,41.666666666666664,5,8.333333333333334,1,0.0,0,8.333333333333334,1,0.0,0,0.0,0,0.0,0,8.333333333333334,1,33.333333333333336,4
p824,-30.0,5,2.0,0.0,0,50.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,10.0,1,0.0,0,40.0,4
p530,-20.0,5,2.0,0.0,0,50.0,5,20.0,2,10.0,1,0.0,0,0.0,0,0.0,0,10.0,1,10.0,1,0.0,0
p783,-14.0,5,2.6,0.0,0,38.46153846153846,5,15.384615384615385,2,15.384615384615385,2,7.6923076923076925,1,0.0,0,0.0,0,15.384615384615385,2,7.6923076923076925,1,0.0,0
p578,-22.0,5,2.0,0.0,0,50.0,5,30.0,3,0.0,0,10.0,1,0.0,0,0.0,0,0.0,0,0.0,0,10.0,1
p807,-12.0,5,2.2,0.0,0,45.45454545454545,5,9.090909090909092,1,9.090909090909092,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,36.36363636363637,4
p123,-10.0,5,1.8,0.0,0,55.55555555555556,5,33.333333333333336,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,11.11111111111111,1,0.0,0
p797,-14.0,8,2.25,0.0,0,44.44444444444444,8,0.0,0,0.0,0,0.0,0,0.0,0,5.555555555555555,1,11.11111111111111,2,5.555555555555555,1,33.333333333333336,6
p380,-22.0,5,1.8,0.0,0,55.55555555555556,5,0.0,0,11.11111111111111,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.333333333333336,3
p707,-30.0,10,2.6,3.8461538461538463,1,38.46153846153846,10,11.538461538461538,3,7.6923076923076925,2,3.8461538461538463,1,0.0,0,3.8461538461538463,1,0.0,0,7.6923076923076925,2,23.076923076923077,6
p241,-26.0,5,2.6,0.0,0,38.46153846153846,5,23.076923076923077,3,0.0,0,0.0,0,0.0,0,0.0,0,7.6923076923076925,1,23.076923076923077,3,7.6923076923076925,1
p636,-20.0,5,3.2,0.0,0,31.25,5,25.0,4,12.5,2,0.0,0,0.0,0,12.5,2,0.0,0,12.5,2,6.25,1
p199,-30.0,5,2.6,0.0,0,38.46153846153846,5,0.0,0,7.6923076923076925,1,0.0,0,0.0,0,0.0,0,15.384615384615385,2,0.0,0,38.46153846153846,5
p616,-26.0,5,2.4,0.0,0,41.666666666666664,5,16.666666666666668,2,0.0,0,0.0,0,0.0,0,8.333333333333334,1,0.0,0,16.666666666666668,2,16.666666666666668,2
p33,6.0,5,2.4,0.0,0,41.666666666666664,5,0.0,0,8.333333333333334,1,0.0,0,0.0,0,0.0,0,16.666666666666668,2,16.666666666666668,2,16.666666666666668,2
p392,-8.0,7,3.2857142857142856,0.0,0,30.434782608695652,7,13.043478260869565,3,4.3478260869565215,1,8.695652173913043,2,0.0,0,4.3478260869565215,1,13.043478260869565,3,13.043478260869565,3,13.043478260869565,3
p137,-8.0,7,2.4285714285714284,0.0,0,35.294117647058826,6,11.764705882352942,2,0.0,0,0.0,0,0.0,0,5.882352941176471,1,17.647058823529413,3,17.647058823529413,3,11.764705882352942,2
p523,-28.0,5,2.8,0.0,0,35.714285714285715,5,14.285714285714286,2,7.142857142857143,1,7.142857142857143,1,7.142857142857143,1,0.0,0,7.142857142857143,1,14.285714285714286,2,7.142857142857143,1
p426,-8.0,5,1.2,0.0,0,83.33333333333333,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16.666666666666668,1,0.0,0
p346,2.0,5,2.4,0.0,0,41.666666666666664,5,0.0,0,16.666666666666668,2,0.0,0,0.0,0,0.0,0,16.666666666666668,2,8.333333333333334,1,16.666666666666668,2
p535,-10.0,5,2.0,0.0,0,50.0,5,0.0,0,10.0,1,0.0,0,0.0,0,0.0,0,0.0,0,10.0,1,30.0,3
p736,2.0,5,1.4,0.0,0,71.42857142857143,5,0.0,0,14.285714285714286,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.285714285714286,1
p785,-12.0,8,2.25,0.0,0,44.44444444444444,8,11.11111111111111,2,0.0,0,5.555555555555555,1,0.0,0,5.555555555555555,1,0.0,0,11.11111111111111,2,22.22222222222222,4
p576,-22.0,5,2.0,0.0,0,40.0,4,0.0,0,0.0,0,10.0,1,0.0,0,0.0,0,10.0,1,20.0,2,20.0,2
p484,-8.0,5,2.0,0.0,0,40.0,4,10.0,1,20.0,2,0.0,0,0.0,0,0.0,0,10.0,1,0.0,0,20.0,2
p726,-6.0,6,2.3333333333333335,0.0,0,42.857142857142854,6,0.0,0,14.285714285714286,2,7.142857142857143,1,0.0,0,7.142857142857143,1,7.142857142857143,1,7.142857142857143,1,14.285714285714286,2
p745,-12.0,6,2.0,0.0,0,50.0,6,0.0,0,0.0,0,16.666666666666668,2,0.0,0,0.0,0,16.666666666666668,2,8.333333333333334,1,8.333333333333334,1
p222,2.0,5,2.8,0.0,0,35.714285714285715,5,21.428571428571427,3,0.0,0,14.285714285714286,2,0.0,0,0.0,0,0.0,0,7.142857142857143,1,21.428571428571427,3
p30,-14.0,5,1.2,0.0,0,83.33333333333333,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,16.666666666666668,1
p212,-16.0,5,2.8,0.0,0,35.714285714285715,5,21.428571428571427,3,0.0,0,0.0,0,0.0,0,7.142857142857143,1,7.142857142857143,1,14.285714285714286,2,14.285714285714286,2
p24,,6,3.1666666666666665,0.0,0,31.57894736842105,6,10.526315789473685,2,0.0,0,0.0,0,0.0,0,10.526315789473685,2,15.789473684210526,3,21.05263157894737,4,10.526315789473685,2
p658,-24.0,5,2.4,0.0,0,41.666666666666664,5,8.333333333333334,1,0.0,0,0.0,0,0.0,0,8.333333333333334,1,0.0,0,8.333333333333334,1,33.333333333333336,4
p190,,4,3.0,0.0,0,33.333333333333336,4,25.0,3,0.0,0,8.333333333333334,1,0.0,0,8.333333333333334,1,0.0,0,16.666666666666668,2,8.333333333333334,1
p460,-12.0,6,2.0,0.0,0,50.0,6,16.666666666666668,2,8.333333333333334,1,0.0,0,0.0,0,8.333333333333334,1,0.0,0,16.666666666666668,2,0.0,0
p729,-24.0,3,2.3333333333333335,0.0,0,42.857142857142854,3,14.285714285714286,1,0.0,0,0.0,0,0.0,0,0.0,0,14.285714285714286,1,28.571428571428573,2,0.0,0
p713,,3,2.3333333333333335,0.0,0,42.857142857142854,3,0.0,0,14.285714285714286,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,42.857142857142854,3
p708,-34.0,6,2.5,0.0,0,40.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,20.0,3,0.0,0,40.0,6
p815,-20.0,5,2.2,0.0,0,45.45454545454545,5,18.181818181818183,2,9.090909090909092,1,0.0,0,0.0,0,0.0,0,0.0,0,9.090909090909092,1,18.181818181818183,2
p795,-20.0,5,3.2,0.0,0,31.25,5,6.25,1,6.25,1,18.75,3,0.0,0,0.0,0,6.25,1,31.25,5,0.0,0
p629,-12.0,5,3.0,0.0,0,33.333333333333336,5,6.666666666666667,1,6.666666666666667,1,6.666666666666667,1,0.0,0,6.666666666666667,1,6.666666666666667,1,13.333333333333334,2,20.0,3
p843,-14.0,5,1.8,0.0,0,55.55555555555556,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44.44444444444444,4
p679,-22.0,5,2.2,0.0,0,45.45454545454545,5,0.0,0,9.090909090909092,1,0.0,0,0.0,0,0.0,0,9.090909090909092,1,9.090909090909092,1,27.272727272727273,3
p61,-22.0,3,2.6666666666666665,0.0,0,37.5,3,25.0,2,0.0,0,0.0,0,0.0,0,12.5,1,0.0,0,25.0,2,0.0,0
p608,16.0,5,2.6,0.0,0,30.76923076923077,4,7.6923076923076925,1,7.6923076923076925,1,15.384615384615385,2,0.0,0,7.6923076923076925,1,0.0,0,15.384615384615385,2,15.384615384615385,2
p55,0.0,4,1.75,0.0,0,57.142857142857146,4,0.0,0,14.285714285714286,1,0.0,0,0.0,0,0.0,0,0.0,0,14.285714285714286,1,14.285714285714286,1
p368,0.0,5,2.4,0.0,0,33.333333333333336,4,0.0,0,0.0,0,8.333333333333334,1,8.333333333333334,1,8.333333333333334,1,8.333333333333334,1,25.0,3,8.333333333333334,1
p393,-26.0,4,2.25,0.0,0,44.44444444444444,4,11.11111111111111,1,0.0,0,0.0,0,0.0,0,0.0,0,11.11111111111111,1,11.11111111111111,1,22.22222222222222,2
p284,,8,2.5,0.0,0,40.0,8,10.0,2,0.0,0,0.0,0,0.0,0,10.0,2,10.0,2,10.0,2,20.0,4
p628,-22.0,7,2.5714285714285716,0.0,0,33.333333333333336,6,11.11111111111111,2,5.555555555555555,1,5.555555555555555,1,0.0,0,5.555555555555555,1,5.555555555555555,1,11.11111111111111,2,22.22222222222222,4
p72,-20.0,6,2.1666666666666665,0.0,0,46.15384615384615,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.384615384615385,2,0.0,0,38.46153846153846,5
p395,-14.0,5,1.6,0.0,0,50.0,4,25.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,25.0,2,0.0,0
p161,-24.0,10,2.1,0.0,0,47.61904761904762,10,4.761904761904762,1,0.0,0,0.0,0,0.0,0,0.0,0,4.761904761904762,1,4.761904761904762,1,38.095238095238095,8
p463,,6,1.0,0.0,0,100.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
p240,-10.0,5,1.4,0.0,0,71.42857142857143,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,14.285714285714286,1,14.285714285714286,1,0.0,0
p823,,5,2.4,0.0,0,41.666666666666664,5,8.333333333333334,1,0.0,0,8.333333333333334,1,0.0,0,8.333333333333334,1,0.0,0,16.666666666666668,2,16.666666666666668,2
ovieCommemorationRandomPackTCG,-10.0,5,2.2,0.0,0,45.45454545454545,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.090909090909092,1,0.0,0,45.45454545454545,5
