pid,y,r1_margin,Comprehension Gauging Question,Comprehension Gauging Question (present),Direct Instruction,Direct Instruction (present),Hint,Hint (present),Negative Feedback,Negative Feedback (present),Neutral Feedback,Neutral Feedback (present),Paraphrase,Paraphrase (present),Pose Simplified Problem,Pose Simplified Problem (present),Positive Feedback,Positive Feedback (present),Prompt,Prompt (present),Provide Correct Answer,Provide Correct Answer (present),Think Aloud_u,Solution Request_u
p745,-12.0,-4.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,16.666666666666664,1.0,16.666666666666664,1.0,33.33333333333333,16.666666666666664
p222,2.0,-2.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,60.0,1.0,0.0,40.0
p30,-14.0,-26.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,40.0
p212,-16.0,-4.0,0.0,0.0,100.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,40.0,1.0,40.0,1.0,40.0,40.0
p24,,-20.0,0.0,0.0,100.0,1.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,50.0,1.0,66.66666666666666,1.0,33.33333333333333,1.0,0.0,0.0
p658,-24.0,-14.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,80.0,1.0,20.0,80.0
p190,,,0.0,0.0,100.0,1.0,75.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,50.0,1.0,25.0,1.0,0.0,0.0
p460,-12.0,-18.0,0.0,0.0,100.0,1.0,33.33333333333333,1.0,16.666666666666664,1.0,0.0,0.0,0.0,0.0,16.666666666666664,1.0,0.0,0.0,33.33333333333333,1.0,0.0,0.0,16.666666666666664,0.0
p729,-24.0,-20.0,0.0,0.0,100.0,1.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0
p713,,,0.0,0.0,100.0,1.0,0.0,0.0,33.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0
p708,-34.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,0.0,100.0,1.0,16.666666666666664,33.33333333333333
p815,-20.0,-4.0,0.0,0.0,100.0,1.0,40.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,40.0,1.0,0.0,20.0
p795,-20.0,-4.0,0.0,0.0,100.0,1.0,20.0,1.0,20.0,1.0,60.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,100.0,1.0,0.0,0.0,80.0,20.0
p629,-12.0,-20.0,0.0,0.0,100.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,20.0,1.0,20.0,1.0,40.0,1.0,60.0,1.0,60.0,20.0
p843,-14.0,2.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1.0,20.0,60.0
p679,-22.0,-10.0,0.0,0.0,100.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,60.0,1.0,60.0,40.0
p61,-22.0,-18.0,0.0,0.0,100.0,1.0,66.66666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,0.0,0.0,66.66666666666666,1.0,0.0,0.0,33.33333333333333,33.33333333333333
p608,16.0,-20.0,0.0,0.0,80.0,1.0,20.0,1.0,20.0,1.0,40.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,40.0,1.0,40.0,1.0,40.0,0.0
p55,0.0,-20.0,0.0,0.0,100.0,1.0,0.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,1.0,25.0,25.0
p368,0.0,-26.0,0.0,0.0,80.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,20.0,1.0,20.0,1.0,60.0,1.0,20.0,1.0,80.0,0.0
p393,-26.0,,0.0,0.0,100.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,1.0,50.0,1.0,25.0,75.0
p284,,-26.0,0.0,0.0,100.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,25.0,1.0,25.0,1.0,50.0,1.0,25.0,37.5
p628,-22.0,18.0,0.0,0.0,85.71428571428571,1.0,28.57142857142857,1.0,14.285714285714285,1.0,14.285714285714285,1.0,0.0,0.0,14.285714285714285,1.0,14.285714285714285,1.0,28.57142857142857,1.0,57.14285714285714,1.0,28.57142857142857,28.57142857142857
p72,-20.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,1.0,0.0,0.0,83.33333333333334,1.0,0.0,33.33333333333333
p395,-14.0,-22.0,0.0,0.0,80.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,20.0,0.0
p161,-24.0,18.0,0.0,0.0,100.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,10.0,1.0,80.0,1.0,30.0,50.0
p463,,-30.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p240,-10.0,-24.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,20.0,1.0,0.0,0.0,60.0,20.0
p823,,-22.0,0.0,0.0,100.0,1.0,20.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,40.0,1.0,40.0,1.0,20.0,60.0
ovieCommemorationRandomPackTCG,-10.0,18.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,100.0,1.0,20.0,80.0
